PALABRA,FONEMA,TRADUCCIÓN
executive,egˈzekjʊtɪv,ejecutivo
exercise,ˈeksəsaɪz,ejercicio
exhaust,egˈzɔːst,"Tubo de escape, agotar"
exhibit,egˈzɪbɪt,Exponer
exhibition,eksɪˈbɪʃnn,exhibición
exist,ɪgzɪst,existir
exit,ˈeksɪt,"Salida, salir"
exotic,egˈzɒtɪk,exótico
expand,eksˈpænd,expandir
expansion,eksˈpænʃən,expansión
expect,ɪksˈpekt(expekt),"Esperar, creer"
expectation,ekspekˈteɪʃən,expectativa
expected,ekspekted,esperarse
expedition,ekspɪˈdɪʃən,expedición
expense,eksˈpens,"Gasto, coste"
expensive,eksˈpensɪv,"Caro, costoso"
experience,ɪksˈpɪərɪəns,experiencia
experienced,eksˈpɪərɪənst,experimentado
experiment,eksˈperɪmənt,experimento
experimental,eksˌperɪˈmentl,experimental
expert,eksp3ːt,experto
expertise,ekspəˈtiːz,"Experiencia, pericia"
explain,ɪksˈpleɪn,"Explicar, aclarar"
explanation,ekspləˈneɪʃən,explicación
explicit,eksˈplɪsɪt,explícito
explode,eksˈpləʊd,explotar
farmer,ˈfɑːməʳ,"Granjero, agricultor"
fascinating,ˈfæsɪneɪtɪŋ,fascinante
fashion,ˈfæʃən,moda
fast,Fa:st,Rápido
faster,Fa:ster,Más rápido
exploit,ksˈpləit,explotar
exploration,ekspləˈreɪʃnn,exploración
explore,eksˈplɔːʳ,explorar
explosion,eksˈpləʊʒən,explosión
export,eksˈpɔːʳ,exportar
expose,eksˈpəʊz,exponer
express,eksˈpres,expreso
expression,eksˈpreʃən,expresión
extend,ɪksˈtend,extender
extended,eksténded,extendido
extension,ekˈstenʃnn,extensión
extensive,eksˈtensɪv,extenso
extent,ɪksˈtent,"Extensión, alcance"
external,eksˈt3ːnl,externo
extra,ˈekstrə,extra
extraordinary,eksˈtrɔːdnrɪ,extraordinario
extreme,eksˈtriːm,extremo
extremely,ɪksˈtriːmlɪ,extremadamente
eye,aɪ,Ojo
eyebrow,ˈaɪbraʊ,ceja
fabric,ˈfæbrɪk,fabrica
face,Feis,cara
facilitate,fəˈsɪlɪteɪt,facilitar
facility,fəˈsɪlɪtɪ,instalación
fact,fækt,"Hecho, realidad"
factor,fæktəʳ,factor
factory,ˈfæktərɪ,fábrica
faculty,ˈfækəltɪ,facultad
fade,feɪd,"Desteñir (color), desvanecerse"
fail,Feil,"Fracasar, fallar, error"
failure,ˈfeɪl-yəʳ,"Fracaso, quiebra"
fair,fɛəʳ,"Justo, claro, feria"
faith,feɪθ,"Fe, lealtad"
fall,fɔːl,caer
false,fols,falso
fame,Feim,fama
familiar,fəˈmɪlɪəʳ(femiliar),"Familiar, conocido"
family,fæmɪlɪ,Familia
famous,ˈfeɪməs(feimes),"Famoso, célebre"
fan,Fæn,"Ventilador, abanicar"
fantastic,fænˈtæstɪk,"Fantástico, sensacional"
fantasy,ˈfæntəzɪ,fantasía
far,fɑːʳ,lejos
fare,fɛəʳ,tarifa
farm,farm,granja
fat,Fæt,"Gordo, grasa"
fatal,feitl,"Letal, fatal"
fate,Feit,destino
father,fɑːðəʳ,Padre
fatigue,fəˈtig,fatiga
fault,fɔːlt,"Culpa, falla"
favor,feivər,"Favor, favorecer"
favorable,feivərbl,favorable
favorite,feivərt,favorito
fear,fɪəʳ,"Miedo, temer"
feather,ˈfeðəʳ,Pluma (pájaro)
feature,ˈfiːtʃəʳ,característica
federal,fedərəl,federal
fee,Fi:,Pago
feed,fiːd,alimentar
feedback,ˈfiːdbæk,retroalimentación
feel,Fi:l,sentir
feeling,fiːlɪŋ,"Sentimiento, emoción"
fellow,ˈfeləʊ,"miembro, compañero"
female,ˈfiːmeɪl,Hembra
feminist,ˈfemɪnɪst,feminista
fence,Fens,cerca
festival,ˈfestɪvol,festival
fever,ˈfi:vər,fiebre
few,fjuː,"Algunos, pocos"
fewer,ˈfjuːəʳ,menos
fiber,Faiber,fibra
fiction,ˈfɪkʃən,ficción
field,fiːld,campo
fierce,fɪərs,feroz
fifteen,fɪfˈtiːn,15
fifth,fɪfθ,quinto
fifty,ˈfɪftɪ,cincuenta
fight,Fait,luchar
fighter,Faiter,luchador
fighting,Faiting,lucha
figure,Figer,"Cifra, dígito; figura"
file,faɪl,expediente
fill,Fil,"Llenar, rellenar, despachar"
film,Film,"Película, filme"
filter,ˈfɪltəʳ,"Filtro, filtrar"
final,ˈfaɪnl,"Final, definitivo"
finally,faɪnəlɪ,finalmente
finance,faɪˈnæns,finanzas
financial,faɪˈnænʃəl,financiera
find,faɪnd,Encontrar
finding,ˈfaɪndɪŋ,"Descubrimientos, conclusión"
fine,faɪn,Fino; multar
finger,fɪŋgəʳ,dedo
finish,ˈfɪnɪʃ,"Finalizar, terminar"
fire,faɪəʳ,"Fuego, disparar"
firm,f3ːm,"Agencia, firma, estudio; firme"
for,fɔːʳ,"Para, por"
forbid,fəˈbɪd,prohibir
force,fors,fuerza
forehead,Forhed,frente
foreign,fɒren,Extranjero
foreigner,ˈfɒrɪnər,extranjero
forest,ˈfɒrɪst,bosque
firmly,ˈf3ːmlɪ,firmemente
first,f3ːst,primero
fiscal,ˈfɪskəl (fiscol),fiscal
fish,fɪʃ,"Pez, pescar"
fisherman,ˈfɪʃəmən,pescador
fishing,ˈfɪʃɪŋ,pesca
fist,Fist,puño
fit,fit,"Encajar, ajustar (eje: ropa)"
fitness,ˈfɪtnes,"Buena forma, salud"
five,faɪv,Cinco
fix,Fiks,"Arreglar, reparar; fijar"
fixed,Fikst,fijo
flag,flæg,bandera
flame,Fleim,flama
flash,flæʃ,destello
flat,flæt,Plano; apartamento
flavor,Flævor,"Sabor, condimentar"
flee,Fli:,huir
fleet,Fli:t,flota
flesh,fleʃ,"Carne, pulpa"
flexibility,fleksɪˈbɪlɪtɪ,flexibilidad
flexible,fleksɪˈbl,flexible
flight,Flait,vuelo
flip,Flip,"Voltear, voltereta"
float,fləʊt,flotar
flood,flʌd,inundar
floor,flɔːʳ,"Piso, suelo"
flour,ˈflaʊəʳ,harina
flow,fləʊ,"Fluir, flujo"
flower,ˈflaʊəʳ,flor
fluid,ˈfluːɪd,fluido
fly,Flai,volar
flying,ˈflaɪɪŋ,"Vuelo, volador"
focus,ˈfəʊsaɪ,enfocar
fog,fog,"Niebla, empañar"
fold,fəʊld,"Pliegue, arruga"
folk,fəʊk(fouk),"Popular, folclórico"
follow,ˈfɒləʊ,Seguir
following,ˈfɒləʊɪŋ,próximo
food,fuːd,Alimentar
fool,Fu:l,tonto
foot,fʊt,pie
football,ˈfʊtbɔːl,futbol
forever,fərˈevəʳ,siempre
forget,Forgét,olvidarse
forgive,fəˈgɪv,perdonar
fork,fɔːk,tenedor
form,form,formulario
format,ˈfɔːmæt,formato
formation,fɔːˈmeɪʃən,"Formación, fundación"
former,ˈfɔːməʳ,"Ex, anterior"
formerly,ˈfɔːməlɪ,anteriormente
formula,ˈfɔːmyəla,fórmula
forth,fɔːθ,"Adelante, lejos"
fortunately,ˈfɔːtʃənɪtlɪ,afortunadamente
fortune,ˈfɔːtʃən,"Fortuna, suerte; riqueza"
forty,ˈfɔːtɪ,40
forum,ˈfɔ:rom,foro
forward,fɔːwəd,Hacia adelante
foster,ˈfɒstəʳ,Fomentar; adoptar
found,faʊnd,encontrar
foundation,faʊnˈdeɪʃən,"Cimientos, fundamentos"
founder,faʊnder,"Fundador; hundirse, irse a pique"
four,fɔːʳ,4
fourth,fɔːθ,cuarto
fraction,ˈfrækʃən,fracción
fragile,‘fædʒail,frágil
fragment,‘fægment,fragmento
frame,Freim,"Marco, estructura"
framework,freimw3ːk,Armazón
franchise,franchaise,franquicia
frankly,ˈfræŋklɪ,francamente
fraud,frɔːd,fraude
free,Fri:,"Gratis, libre"
freedom,ˈfriːdəm,libertad
freely,ˈfriːlɪ,libremente
freeze,Fri:z,congelar
French,frensh,francés
frequency,ˈfriːkwənsɪ,frecuencia
frequent,ˈfriːkwənt,frecuente
frequently,ˈfriːkwəntli,frecuentemente
fresh,freʃ,fresco
freshman,ˈfreʃmən,"Principiante, estudiante de primer
año"
friend,frend,Amigo
friendly,frendli,amistoso
friendship,ˈfrendʃɪp,amistad
from,frɒm,"Desde, a (prep lugar de origen)"
front,frʌnt,"Frente, parte delantera"
frontier,frʌntier,Frontera
frown,fraʊn,Fruncir el ceño
frozen,ˈfrəʊzn,Congelado
fruit,Fru:t,Fruta
frustrate,frʌsˈtreɪt,Frustrar
frustration,frʌsˈtreɪʃən,Frustración
fucking,ˈfʌkɪŋ,"Puto, maldito"
genius,ˈdʒiːnɪəs(ginies),genio
genre,ʒɑɑ ːnr(yanera),género
gentle,ˈdʒentl,amable
gentleman,ˈdʒentlmən,caballero
gently,ˈdʒentlɪ,"Cuidadosamente, suavemente"
genuine,ˈdʒenjʊen,genuino
German,ˈdʒɜːmən,alemán
gesture,ˈdʒestʃəʳ,"Gesto, expresión"
get,Get,"Conseguir, obtener, recibir;"
fuel,fjʊəl,"Combustible, gasolina"
full,fʊl,"Completo, lleno"
full-time,fʊl-taim,Jornada completa
fully,fʊlɪ,Completamente
fun,fʌn,Diversión
function,ˈfʌŋkʃən,Funcionar
functional,ˈfʌŋkʃnəl,Funcional
fund,fʌnd,Fondos
"fundamenta
l",fʌndəˈmentl,Fundamental
funeral,ˈfjuːnərəl,Funeral
funny,ˈfʌnɪ,Gracioso
fur,f3ːʳ,"Pelo, pelaje"
furniture,ˈf3ːnɪtʃəʳ,Muebles
furthermore,ˈf3ːð3ːˈmɔːʳ,"Además, es más"
future,ˈfjuːtʃəʳ,Futuro
gain,geɪn,"Ganar, aumentar, obtener"
galaxy,ˈgæləksɪ,galaxia
gallery,ˈgælərɪ,galería
game,geɪm,Juego
gang,gæng,pandilla
gap,Gæp,"Hueco, espacio, intervalo"
garage,ˈgærɑːʒ,"Garaje, cochera"
garbage,ˈgɑːbɪdʒ,basura
garden,gɑːdn,Jardín
garlic,ˈgɑːlɪk,ajo
gas,Gæs,gas
gasoline,gasəˈlēn,gasolina
gate,Geit,Puerta; portal
gather,ˈgæðəʳ,"Reunir, recoger"
gathering,ˈgæðərɪŋ,"Reunión, concurrencia"
gay,gei,"Homosexual, alegre"
gaze,Geiz,contemplar
gear,gɪəʳ(gier),"Engranaje, marcha (cambio)"
gender,ˈdʒendəʳ,género
gene,dʒiːn (gin),gen
general,ˈdʒenərəl,general
generally,dʒenərəlɪ,generalmente
generate,ˈdʒenəreɪt,generar
generation,dʒenəˈreɪʃən,generación
generous,ˈdʒenərəs,generoso
genetic,dʒiˈnetɪk,genético
,,persuadir
ghost,gəʊst,fantasma
giant,ˈjīənt,gigante
gift,Gift,regalo
gifted,ˈgɪftid,"Dotado, talentoso"
girl,g3ːl,Chica
girlfriend,ˈg3ːlfrend,polola
give,gɪv,Dar
given,‘givn,"Dado, regalado"
glad,glæd,contento
glance,glɑːns,"Ojeada, vistazo"
glass,glɑːs,"Cristal, vidrio"
glimpse,Glimps,"Entrever, vislumbrar"
global,ˈgləʊb,"Global, mundial"
globe,gləʊb,"Globo, mundo"
glove,glʌv,guante
go,gəʊ,ir
goal,gəʊl,"Meta, gol"
goat,gəʊt,"Cabra, chivo"
God,gɒd,dios
gold,gəʊld(gould),oro
golden,ˈgəʊldən,"Dorado, de oro"
golf,gɒlf,golf
good,gʊd,bueno
govern,ˈgʌvən,gobernar
government,gʌvnmənt,Gobierno
governor,ˈgʌvənəʳ,gobernador
grab,Græb,"Coger, atrapar, agarrar"
grace,greis,gracia
grade,greɪd,"Grado, curso"
gradually,ˈgrædjʊəlɪ,gradualmente
graduate,ˈgrædjʊɪt,graduarse
graduation,grædjʊˈeɪʃən,graduación
grain,grein,grano
grand,grænd,gran
grandchild,grænd tʃaɪld,nieto
grandfather,grændˈfɑːðəʳ,abuelo
grandmothe r,grændˈmʌðəʳ,abuela
grandparent,grændˈpɛərənt,"Abuelo, abuelos"
grant,grɑːnt,Conceder; beca
grape,greɪp,uva
grasp,grɑːsp,"Agarrar, sujetar"
grass,grɑːs,césped
grateful,ˈgreɪtfʊl,agradecido
grave,Greiv,"Grave, serio; tumba, sepultura"
gravity,ˈgrævɪtɪ,gravedad
gray,Grei,gris
great,greɪt,"Gran, magnifico"
greatest,‘greitist,El mejor
greatly,ˈgreɪtlɪ,enormemente
Greek,gri:k,griego
happy,hæpɪ,feliz
harassment,ˈhærəsmənt,"Acoso, molestia repetida"
hard,hɑːrd,"Duro, difícil"
hardly,ˈhɑːdlɪ,"Apenas, difícilmente"
hardware,ˈhɑːdwɛəʳ,Hardware(lit:  mercancías duras)
harm,Harn,lastimas
harmony,ˈhɑːməni,armonía
harsh,hɑːʃ,"Duro, severo"
harvest,ˈhɑːvest,cosechar
green,Gri:n,verde
greet,Gri:t,"Saludar, dar la bienvenida"
grin,grɪn,sonreír
grip,Grip,"Agarre, sujeción"
grocery,ˈgrəʊsərɪ,"Abarrotes, rosticería"
gross,grəʊs,"Bruto, grosero; grueso, enorme"
ground,graʊnd,suelo
group,gruːp,"Grupo, agrupar"
grow,grəʊ,Crecer
growing,ˈgrəʊɪŋ,creciente
growth,grəʊθ,Crecimiento
guarantee,gærənˈtiː,Garantía
guard,Ga:rd,"Guardia, vigilar, escolta"
guess,ges,suponer
guest,Gest,"Invitado, visita"
guidance,ˈgaɪdəns,"Guía, orientación"
guide,Gaid,"Guiar, guía"
guideline,ˈgaɪdlaɪn,"Directriz, reglas generales"
guilt,Gilt,culpa
guilty,ˈgɪltɪ,culpable
guitar,giˈtɑːʳ,guitarra
gun,gʌn,pistola
gut,gʌt,"Barriga, intestino"
guy,gaɪ,Chico
gym,dʒɪm,gimnasio
ha,,ja
habit,ˈhæbɪt,"Hábito, costumbre"
habitat,ˈhæbɪtæt,hábitat
hair,hɛəʳ,pelo
half,Ha:f (sin L),mitad
halfway,ˈhɑːfˈweɪ,"A medio camino, a medias"
hall,hɔːl,"Salón, recibidor"
hallway,ˈhɔːlweɪ,vestíbulo
hand,hænd,mano
handful,ˈhændfʊl,puñado
handle,ˈhændl,"Mango, manejar"
handsome,ˈhænsəm,Guapo (hombre)
hang,Hæŋ,colgar
happen,hæpən,Suceder
happily,ˈhæpɪlɪ,felizmente
happiness,ˈhæpɪnes,felicidad
hat,hæt,sombrero
hate,heit,odiar
haul,hɔːl,"Tirar, acarrear"
have,Hæv,tener
hay,Hei,heno
hazard,ˈhæzerd,"Peligro, riesgo"
he,hiː,él
head,Hed,cabeza
headache,ˈhedeik,"Jaqueca, dolor de cabeza"
headline,‘hedlain,titular
headquarters,‘hedˈkwɔːtəʳ,Oficina central
heal,Hi:L,"Curar, curarse"
health,helθ,Salud
health-care,Helθ-kɛəʳ,Asistencia médica
healthy,ˈhelθɪ,saludable
hear,hɪəʳ,Oír
hearing,ˈhɪərɪŋ,"Oído, auditivo"
heart,hɑːrt,Corazón
heat,hiːt,"Calor, calentar"
heaven,‘heaven,cielo
heavily,ˈhevɪlɪ,"Pesadamente, mucho"
heavy,hevi,pesado
heel,Hi:l,"Talón, taco"
height,Hait,altura
helicopter,‘helɪkɒptəʳ,helicóptero
hell,Hel,infierno
hello,'hələʊ,hola
helmet,ˈhelmɪt,casco
help,Help,ayudar
helpful,ˈhelpfʊl,útil
hence,Hens,"Por lo tanto, por eso"
her,h3ːʳ,su
herb,hər,"Hierba, condimento"
here,hɪəʳ,"Aquí, acá"
heritage,ˈherɪtɪdʒ,herencia
hero,ˈhɪərəʊ,héroe
hers,hers,suyo
herself,h3ːˈself,"Se, ella misma"
hesitate,ˈhezɪteɪt,dudar
hey,Hei,hola
hi,Hai,hola
hidden,‘hidn,escondido
hide,Haid,"Ocultar, esconder; piel"
high,hai,alto
highlight,ˈhaɪlaɪt,resaltar
highly,ˈhaɪlɪ,extremadamente
high-tech,‘hai-tech,Alta tecnología
highway,‘haiwei,autovía
hike,Haik,"Caminata (área alta), excursión"
hill,hɪl,"Colina, montaña"
him,hɪm,"Él; lo, le"
himself,hɪmˈself,"él mismo, se"
hour,aʊəʳ,Hora
house,haʊs,casa
household,ˈhaʊshəʊld,familiar
how,haʊ,cómo
however,haʊˈevəʳ,"Sin embargo; de todos modos;
como"
hug,hʌg,"Abrazar, abrazo"
huge,hjuːdʒ,enorme
huh,hʌ,Eh?
human,ˈhjuːmən,humano
humanity,ˈhjuːmənli,humanidad
humor,ˈhjuːmə(r),humor
hint,hɪnt,pista
hip,hɪp,cadera
hire,ˈhaɪəʳ,contratar
his,hɪz (hiz),"Su, suyo"
Hispanic,hɪsˈpænɪk,hispánico
historian,hɪsˈtɔːrɪən,historiador
historic,hɪsˈtɒrɪk,histórico
historical,hɪsˈtɒrɪkəl,histórico
historicall y,hɪsˈtɒrɪkəlɪ,históricamente
history,hɪstərɪ,Historia
hit,hit,Golpear
hockey,ˈhɒkɪ,hockey
hold,həʊld,"Contener, mantener"
hole,həʊl,agujero
holiday,ˈhɒlədɪ,vacaciones
holy,ˈhəʊlɪ,"Sagrado, santo"
home,həʊm,"Hogar, casa"
homeland,ˈhəʊmlænd,"Patria, país natal"
homeless,ˈhəʊmlɪs(houmles),vagabundo
homework,ˈhəʊmw3ːk,"Deberes, tarea"
honest,ˈɒnɪst (ónes),sincero
honestly,ˈɒnɪstlɪ (onesli),honestamente
honey,ˈhʌnɪ,Miel; cariño
honor,ˈɒnəʳ,honradez
hook,hʊk,Gancho; anzuelo
hope,həʊp,esperanza
hopefully,ˈhəʊpfʊlɪ,Con suerte
horizon,həˈraɪzn,horizonte
hormone,ˈhɔːməʊn,hormona
horn,hɔːn,Cuerno; claxon
horrible,ˈhɒrɪbl,horrible
horror,ˈhɒrəʳ,horror
horse,hɔːs,caballo
hospital,hɒspɪtl,hospital
host,həʊst,"Anfitrión, presentador"
hostage,ˈhɒstɪdʒ,rehén
hostile,ˈhɒstɪl,hostil
hot,hot,caliente
hotel,həʊˈte,hotel
hundred,hʌndred,cien
hunger,ˈhʌŋgəʳ,hambre
hungry,ˈhʌŋgrɪ,hambriento
hunt,hʌnt,cazar
hunter,hʌnter,cazador
hunting,hʌnting,caza
hurricane,Hurrikein,huracán
hurry,ˈhʌrɪ,apurarse
hurt,h3ːt,lastimar
husband,hʌzbənd,esposo
hypothesis,haipotesis,Hipótesis
I,aɪ,Yo
ice,ais,Hielo
icon,ˈaɪkɒn,ícono
idea,aɪˈdɪə,Idea
ideal,aɪˈdɪəl,ideal
identical,aɪˈdentɪkəl,idéntico
identification,aɪˌdentɪfɪˈkeɪʃən,identificación
identify,aɪˈdentɪfaɪ,identificar
identity,aɪˈdentɪtɪ,identidad
ideological,aɪdɪəˈlɒdʒɪkəl,ideológico
ideology,aɪdɪəˈlɒdʒɪ,ideología
ie,Ai-i,Esto es
if,ɪf,Si (condicional)
ignore,ɪgˈnɔːʳ,ignorar
ill,ɪl,Enfermo
illegal,ɪˈliːgəl,ilegal
illness,ˈɪlnɪs (ilnes),enfermedad
illusion,ɪˈluːʒən,ilusión
illustrate,ˈɪləstreɪt,ilustrar
image,ɪmedʒ,imagen
imagination,ɪˌmædʒɪˈneɪʃən,imaginación
imagine,ɪˈmædʒɪn,imaginar
immediately,ɪˈmiːdɪətlɪ,inmediatamente
immigrant,ˈɪmɪgrənt,inmigrante
immigration,ɪmɪˈɡreɪʃnn,inmigración
immune,ɪˈmjuːn,inmune
impact,ɪmpækt,impacto
implement,ˈɪmplement,implementar
implementation,ɪmplɪmenˈteɪʃən,implementación
implication,ɪmplɪˈkeɪʃən,implicación
imply,ɪmˈplaɪ,"Insinuar, implicar"
import,ɪmˈpɔːt,importar
importance,ɪmˈpɔːtəns,importancia
important,ɪmˈpɔːtənt,Importante
importantly,ɪmˈpɔːtəntlɪ,importantemente
impose,ɪmˈpəʊz,imponer
impossible,ɪmˈpɒsəbl,imposible
impress,ˈɪmpres,impresionar
impression,ɪmˈpreʃən,impresión
impressive,ɪmˈpresɪv,impresionante
improve,ɪmˈpruːv,mejorar
ingredient,ɪnˈgriːdɪənt,ingrediente
inherent,ɪnˈherent,inherente
inherit,ɪnˈherɪt,Heredar (en genes)
initial,ɪˈnɪʃəl,"Inicial (nombre), inicial"
initially,ɪˈnɪʃəlɪ,inicialmente
initiate,ɪˈnɪʃieit,iniciar
initiative,ɪˈnɪʃəv,iniciativa
injure,ˈɪndʒəʳ (injur),"Dañar, herir"
injury,ˈɪndʒərɪ,herida
inner,ˈɪnəʳ,"Interior, interno"
innocent,ˈɪnəsnt,inocente
innovation,ɪnəʊˈveɪʃən,innovación
innovative,ˈɪnəʊˌveɪtɪv,innovador
improvement,ɪmˈpruːvmənt,mejora
impulse,ˈɪmpʌls,impulso
in,ɪn,en
incentive,ɪnˈsentɪv,incentivo
incident,ˈɪnsɪdənt,incidente
include,ɪnˈkluːd,Incluir
including,ɪnˈkluːdɪŋ,"Incluso, incluyendo"
income,ˈɪnkʌm,"Ingreso, renta"
incorporate,ɪnˈkɔːpəreɪt,incorporar
increase,ˈɪnkriːs,aumentar
increased,ˈɪnkriːst,"Incrementado, aumentado"
increasing,ɪnˈkriːsɪŋ,creciente
increasingly,ɪnˈkriːsɪŋlɪ,Cada vez más
incredible,ɪnˈkredəbl,increíble
incredibly,ɪnˈkredəblɪ,increíblemente
indeed,ɪnˈdiːd,"En efecto, ciertamente"
independence,ɪndeˈpendəns,independiente
independent,ɪndɪˈpendənt,independiente
index,ˈɪndeks,índice
Indian,ˈɪndɪən,indio
indicate,ɪndɪkeɪt,Indicar
indication,ɪndɪˈkeɪʃən,"Indicación, indicio"
indicator,ˈɪndɪkeɪtəʳ,"Indicador, intermitente (auto)"
indigenous,indigyines,indígena
individual,ɪndivídjʊəl,individual
industrial,ɪnˈdʌstrɪəl,industrial
industry,ɪnˈdʌstrɪ,industria
inevitable,ɪnˈevɪtəbl,inevitable
inevitably,ɪnˈevɪtəbli,inevitablemente
infant,ˈɪnfənt,"Niño, infante"
infection,ɪnˈfekʃən,Infección
inflation,ɪnˈfleɪʃən,inflación
influence,ˈɪnflʊəns,"Influir, influencia (habilidad)"
influential,ɪnflʊˈenʃəl,influyente
informal,ɪnˈfɔːməl,informal
information,ɪnfəˈmeɪʃən,Información
infrastructure,ˈɪnfrəˌstrʌtʃəʳ,infraestructura
inquiry,ɪnˈkwaɪərɪ,investigación
insect,ˈɪnsekt,insecto
insert,insərt,"Insertar, meter"
inside,ˈɪnˈsaɪd,adentro
insight,ˈɪnsaɪt,percepción
insist,ɪnˈsɪst,insistir
inspection,ɪnˈspekʃən,inspección
inspector,ins.pekˈtoɾ,inspector
inspiration,ɪnspəˈreɪʃən,inspiración
inspire,ɪnˈspaɪəʳ,"Inspirar, incentivar"
install,instól,instalar
installation,ɪnstəˈleɪʃən,instalación
instance,ˈɪnstəns,ocasión
instant,ˈɪnstənt,instante
instantly,ˈɪnstəntli,instantáneamente
instead,ɪnˈsted,"En lugar de, en vez de"
instinct,ínstinkt,instinto
institution,ɪnstɪˈtjuːʃən,institución
institutional,ɪnstɪˈtjuːʃən,institucional
instruct,ɪnˈstrʌkt,instruir
instruction,ɪnˈstrʌktʃən,instrucciones
instructional,ɪnˈstrʌktʃəl,De enseñanza
instructor,ɪnˈstrʌktor,instructor
instrument,ˈinstrəmənt,instrumento
insurance,ɪnˈʃʊərəns,seguro
intact,ɪnˈtækt,intacto
integrate,ˈɪntɪgreɪt,integrar
integrated,ˈɪntɪgreɪtɪd,integrado
integration,ˈɪntɪgreɪtʃən,integración
integrity,ɪnˈtegrɪtɪ,"Integridad, honradez"
intellectual,ɪntɪˈlektjʊəl,intelectual
intelligence,ɪnˈtelɪdʒəns,inteligencia
intelligent,ɪnˈtelɪdʒənt,inteligente
intend,ɪnˈtend,"Intención, tener intención"
intense,ɪnˈtens,intenso
intensity,ɪnˈtensiti,intensidad
intent,ɪnˈtent,"Propósito, intento"
intention,ɪnˈtenʃən,intención
interact,ɪntərˈækt,interactuar
interaction,ɪntərˈækʃən,interacción
interest,ɪntrɪst(intrest),interés
interested,ˈɪntrɪstɪd(íntrestid),interesado
interesting,ɪntrestɪŋ,interesante
interfere,ɪntəˈfiəʳ,interferir
interior,ɪnˈtɪərɪəʳ,interior
internal,ɪnˈt3ːnl,interno
international,ɪntəˈnæʃnəl,internacional
Internet,ˈɪntərnet,Internet
interpret,ɪnˈt3ːprɪt,interpretar
interpretation,ɪnˌt3ːpreˈteɪʃən,interpretación
interrupt,ɪntəˈrʌpt,interrumpir
interval,ɪntəˈrvol,"Intervalo, lapso"
issue,ˈɪʃuː,"Expedir, emitir, publicar;
asunto(problema)"
it,ɪt,
Italian,ɪˈtæljən,italiano
item,aɪtəm,"Artículo, pieza"
its,ɪts,su
itself,ɪtˈself,"Él mismo, se mismo"
jacket,ˈdʒækɪt,chaqueta
jail,dʒeɪl,cárcel
Japanese,dʒæpəˈniːz,japonés
jar,dʒɑː(r),jarro
jazz,dʒæz,jazz
jeans,Ji:ns,vaqueros
jet,dʒet,"Chorro, avión a reacción"
Jew,Jeu,judío
jewelry,ˈdʒu:əlri,"Joyas, joyería"
intervention,ɪntəˈvenʃən,intervención
interview,ˈɪntərvjuː,entrevista
intimate,ˈɪntemet,"Íntimo (privado, sexual)"
into,ɪntʊ,"A, en, contra, hasta; hacia el
interior de"
introduce,ɪntrəˈdjuːs,introduce
introduction,ɪntrəˈdʌkʃən,introducción
invade,ɪnˈveɪd,invadir
invasion,inˈveiʒən,invasión
invent,ɪnˈvent,inventar
invention,ɪnˈvenʃən,"Invento, invención"
inventory,ɪnˈventori,inventario
invest,ɪnˈvest,invertir
investigate,ɪnˈvestɪgeɪt,investigar
investigation,ɪnˌvestɪˈgeɪʃən,investigación
investigator,ɪnˈvestɪgeɪtəʳ,investigador
investment,ɪnˈvestmənt,inversión
investor,ɪnˈvestəʳ,"Inversor, inversionista"
invisible,ɪnˈvɪzəbl,invisible
invitation,ɪnvɪˈteɪʃən,invitación
invite,ˈɪnvaɪt,invitar
involve,ɪnˈvɒlv,"Involucrar, suponer, significar"
involved,ɪnˈvɒlvd,involucrado
involvement,ɪnˈvɒlvmənt,"Implicación, participación"
Iraqi,ɪˈrɑːki,iraquí
Irish,erish,irlandés
iron,ˈaɪrən (sin r uk),hierro
ironically,aɪˈrɒnɪkəlɪ,irónicamente
irony,Ai’roni,ironía
Islam,ɪzˈlæm,islam
Islamic,ɪzˈlæmɪk,islámico
island,ˈaɪlənd,isla
isolate,aisəʊleit,"Aislar, aislarse"
isolated,ˈaɪsəʊleɪted,Aislado (también remoto)
isolation,aɪsəʊˈleɪʃən,aislamiento
Israeli,ɪzˈreɪli,israelí
Jewish,ˈdʒuːɪʃ,judío
job,dʒɒb,"Trabajo, empleo"
join,dʒɔɪn,unir
joke,dʒəʊk,"Chiste, broma"
journal,ˈdʒ3ːnl,periódico
journalism,ˈdʒ3ːnəlɪzəm,periodismo
journalist,ˈdʒ3ːnəlɪzt,periodista
journey,ˈdʒ3ːnɪ,"Viaje, travesía (viaje extenso)"
joy,dʒɔɪ,"Alegría, júbilo"
judge,dʒʌdʒ,"Juez, juzgar"
judgment,ˈdʒʌdʒmənt,juicio
judicial,dʒuːˈdɪʃəl,judicial
juice,dʒuːs,jugo
jump,dʒʌmp,saltar
jungle,ˈdʒʌŋgl,jungla
junior,ˈdʒuːnɪəʳ,"Novato, niño"
jurisdiction,dʒʊərɪsˈdɪkʃən,jurisdicción
juror,ˈdʒʊərəʳ,jurado
jury,ˈdʒʊəri,jurado
just,dʒʌst,"Justo, sólo, apenas"
justice,ˈdʒʌstes,"Justicia, tribunal"
justify,ˈdʒʌstɪfaɪ,justificar
keep,kiːp,"Mantener, Guardar, almacenar"
key,kiː,"Llave, tecla"
kick,kɪk,patear
kid,kɪd,Niño; cabrito (animal)
kill,kɪl,matar
